Slice,Count,Total Area,Average Size,%Area,Mean
DH_ORE_sdETX4(f)_OREw(m)_M_Rep2_24_hn_08-1.tif,1,665865,665865.000,85.001,255
DH_ORE_sdETX4(f)_vg2a33(m)_M_Rep4_24_hn_08-1.tif,1,676181,676181.000,86.318,255
DH_ORE_sdETX4(f)_vg1(m)_F_Rep1_24_hn_05-1.tif,1,323351,323351.000,41.277,255
DH_ORE_sdETX4(f)_vgf02736(m)_F_Rep1_24_hn_01-1.tif,1,296161,296161.000,37.807,255
DH_ORE_sdETX4(f)_vg1(m)_F_Rep1_24_hn_04-1.tif,1,313144,313144.000,39.974,255
DH_ORE_sdETX4(f)_OREw(m)_M_Rep1_24_hn_01-1.tif,1,696069,696069.000,88.857,255
DH_ORE_sdETX4(f)_vg2a33(m)_M_Rep4_24_hn_09-1.tif,1,714086,714086.000,91.157,255
DH_ORE_sdETX4(f)_OREw(m)_M_Rep2_24_hn_09-1.tif,1,673071,673071.000,85.921,255
DH_ORE_sdETX4(f)_vg1(m)_F_Rep1_24_hn_06-1.tif,1,324905,324905.000,41.476,255
DH_ORE_sdETX4(f)_OREw(m)_M_Rep1_24_hn_03-1.tif,1,685575,685575.000,87.517,255
DH_ORE_sdETX4(f)_vgf02736(m)_F_Rep1_24_hn_02-1.tif,1,342033,342033.000,43.662,255
DH_ORE_sdETX4(f)_vg1(m)_F_Rep3_24_hn_09-1.tif,1,307986,307986.000,39.316,255
DH_ORE_sdETX4(f)_vg2a33(m)_M_Rep1_24_hn_04-1.tif,1,681335,681335.000,86.976,255
DH_ORE_sdETX4(f)_vg1(m)_F_Rep3_24_hn_08-1.tif,1,350502,350502.000,44.743,255
DH_ORE_sdETX4(f)_OREw(m)_M_Rep1_24_hn_02-1.tif,1,696846,696846.000,88.956,255
DH_ORE_sdETX4(f)_vg1(m)_F_Rep1_24_hn_03-1.tif,1,298727,298727.000,38.134,255
DH_ORE_sdETX4(f)_vg2a33(m)_M_Rep1_24_hn_01-1.tif,1,697627,697627.000,89.056,255
DH_ORE_sdETX4(f)_vg1(m)_F_Rep1_24_hn_02-1.tif,1,327742,327742.000,41.838,255
DH_ORE_sdETX4(f)_vg2a33(m)_M_Rep1_24_hn_02-1.tif,1,723417,723417.000,92.348,255
DH_ORE_sdETX4(f)_vg2a33(m)_M_Rep1_24_hn_03-1.tif,1,684749,684749.000,87.412,255
DH_ORE_sdETX4(f)_vg1(m)_F_Rep1_24_hn_01-1.tif,1,341462,341462.000,43.589,255
DH_ORE_sdETX4(f)_OREw(m)_M_Rep1_24_hn_04-1.tif,1,674414,674414.000,86.092,255
DH_ORE_sdETX4(f)_OREw(m)_F_Rep3_24_hn_03-1.tif,1,317926,317926.000,40.585,255
DH_ORE_sdETX4(f)_vg2a33(m)_F_Rep2_24_hn_03-1.tif,2,333905,166952.500,42.625,255
DH_ORE_sdETX4(f)_OREw(m)_F_Rep4_24_hn_03-1.tif,1,325678,325678.000,41.574,255
DH_ORE_sdETX4(f)_OREw(m)_F_Rep2_24_hn_04-1.tif,1,318976,318976.000,40.719,255
DH_ORE_sdETX4(f)_vg1(m)_M_Rep2_24_hn_01-1.tif,1,628142,628142.000,80.186,255
DH_ORE_sdETX4(f)_vg2a33(m)_F_Rep3_24_hn_04-1.tif,1,370201,370201.000,47.258,255
DH_ORE_sdETX4(f)_vg2a33(m)_F_Rep4_24_hn_10-1.tif,1,358965,358965.000,45.824,255
DH_ORE_sdETX4(f)_vg2a33(m)_F_Rep4_24_hn_04-1.tif,1,345769,345769.000,44.139,255
DH_ORE_sdETX4(f)_vgf02736(m)_M_Rep3_24_hn_02-1.tif,1,721549,721549.000,92.110,255
DH_ORE_sdETX4(f)_vgf02736(m)_M_Rep3_24_hn_03-1.tif,1,726109,726109.000,92.692,255
DH_ORE_sdETX4(f)_vg2a33(m)_F_Rep4_24_hn_05-1.tif,1,323653,323653.000,41.316,255
DH_ORE_sdETX4(f)_vg21-3(m)_F_Rep2_24_hn_01-1.tif,2,284581,142290.500,36.328,255
DH_ORE_sdETX4(f)_vg2a33(m)_F_Rep3_24_hn_05-1.tif,2,358367,179183.500,45.747,255
DH_ORE_sdETX4(f)_OREw(m)_F_Rep2_24_hn_05-1.tif,1,325075,325075.000,41.498,255
DH_ORE_sdETX4(f)_OREw(m)_F_Rep4_24_hn_02-1.tif,1,309679,309679.000,39.532,255
DH_ORE_sdETX4(f)_vg2a33(m)_F_Rep2_24_hn_02-1.tif,2,344127,172063.500,43.930,255
DH_ORE_sdETX4(f)_OREw(m)_F_Rep3_24_hn_02-1.tif,1,342237,342237.000,43.688,255
DH_ORE_sdETX4(f)_vg2a33(m)_F_Rep1_24_hn_08-1.tif,1,338978,338978.000,43.272,255
DH_ORE_sdETX4(f)_vg1(m)_M_Rep2_24_hn_02-1.tif,1,706260,706260.000,90.158,255
DH_ORE_sdETX4(f)_vg2a33(m)_F_Rep3_24_hn_07-1.tif,1,341992,341992.000,43.657,255
DH_ORE_sdETX4(f)_vgf02736(m)_M_Rep4_24_hn_01-1.tif,1,687956,687956.000,87.821,255
DH_ORE_sdETX4(f)_vg2a33(m)_F_Rep4_24_hn_07-1.tif,1,344588,344588.000,43.988,255
DH_ORE_sdETX4(f)_vgf02736(m)_M_Rep3_24_hn_01-1.tif,1,717463,717463.000,91.588,255
DH_ORE_sdETX4(f)_vg2a33(m)_F_Rep4_24_hn_06-1.tif,1,316457,316457.000,40.397,255
DH_ORE_sdETX4(f)_vg2a33(m)_F_Rep3_24_hn_06-1.tif,1,341299,341299.000,43.569,255
DH_ORE_sdETX4(f)_vg1(m)_M_Rep2_24_hn_03-1.tif,1,724169,724169.000,92.444,255
DH_ORE_sdETX4(f)_vg2a33(m)_F_Rep1_24_hn_09-1.tif,1,331300,331300.000,42.292,255
DH_ORE_sdETX4(f)_OREw(m)_F_Rep4_24_hn_01-1.tif,1,339728,339728.000,43.368,255
DH_ORE_sdETX4(f)_vg2a33(m)_F_Rep2_24_hn_01-1.tif,1,351878,351878.000,44.919,255
DH_ORE_sdETX4(f)_OREw(m)_F_Rep3_24_hn_01-1.tif,1,316423,316423.000,40.393,255
DH_ORE_sdETX4(f)_OREw(m)_F_Rep3_24_hn_05-1.tif,1,298992,298992.000,38.168,255
DH_ORE_sdETX4(f)_vg21-3(m)_F_Rep4_24_hn_01-1.tif,2,296687,148343.500,37.874,255
DH_ORE_sdETX4(f)_OREw(m)_F_Rep4_24_hn_05-1.tif,1,334000,334000.000,42.637,255
DH_ORE_sdETX4(f)_vgf02736(m)_M_Rep2_24_hn_03-1.tif,1,715058,715058.000,91.281,255
DH_ORE_sdETX4(f)_OREw(m)_F_Rep2_24_hn_02-1.tif,1,348907,348907.000,44.540,255
DH_ORE_sdETX4(f)_vg2a33(m)_F_Rep3_24_hn_02-1.tif,1,341371,341371.000,43.578,255
DH_ORE_sdETX4(f)_vgf02736(m)_M_Rep3_24_hn_04-1.tif,1,723948,723948.000,92.416,255
DH_ORE_sdETX4(f)_vg2a33(m)_F_Rep4_24_hn_02-1.tif,1,335032,335032.000,42.769,255
DH_ORE_sdETX4(f)_vg2a33(m)_F_Rep4_24_hn_03-1.tif,2,303122,151561.000,38.695,255
DH_ORE_sdETX4(f)_vg2a33(m)_F_Rep3_24_hn_03-1.tif,1,309979,309979.000,39.570,255
DH_ORE_sdETX4(f)_OREw(m)_F_Rep2_24_hn_03-1.tif,2,311148,155574.000,39.720,255
DH_ORE_sdETX4(f)_vgf02736(m)_M_Rep2_24_hn_02-1.tif,1,714336,714336.000,91.189,255
DH_ORE_sdETX4(f)_vg1(m)_M_Rep4_24_hn_01-1.tif,1,696711,696711.000,88.939,255
DH_ORE_sdETX4(f)_OREw(m)_F_Rep4_24_hn_04-1.tif,1,357807,357807.000,45.676,255
DH_ORE_sdETX4(f)_vg2a33(m)_F_Rep2_24_hn_04-1.tif,1,316120,316120.000,40.354,255
DH_ORE_sdETX4(f)_vg1(m)_M_Rep3_24_hn_01-1.tif,1,710137,710137.000,90.653,255
DH_ORE_sdETX4(f)_OREw(m)_F_Rep3_24_hn_04-1.tif,1,330578,330578.000,42.200,255
DH_ORE_sdETX4(f)_vg1(m)_M_Rep3_24_hn_03-1.tif,1,701009,701009.000,89.487,255
DH_ORE_sdETX4(f)_OREw(m)_F_Rep3_24_hn_06-1.tif,1,302394,302394.000,38.602,255
DH_ORE_sdETX4(f)_vg21-3(m)_F_Rep4_24_hn_02-1.tif,1,304745,304745.000,38.902,255
DH_ORE_sdETX4(f)_vg21-3(m)_F_Rep3_24_hn_02-1.tif,1,435440,435440.000,55.586,255
DH_ORE_sdETX4(f)_OREw(m)_F_Rep2_24_hn_01-1.tif,2,320520,160260.000,40.916,255
DH_ORE_sdETX4(f)_vg2a33(m)_F_Rep3_24_hn_01-1.tif,1,356800,356800.000,45.547,255
DH_ORE_sdETX4(f)_vg2a33(m)_F_Rep4_24_hn_01-1.tif,1,344518,344518.000,43.980,255
DH_ORE_sdETX4(f)_vgf02736(m)_M_Rep2_24_hn_01-1.tif,1,699873,699873.000,89.342,255
DH_ORE_sdETX4(f)_vg21-3(m)_F_Rep4_24_hn_03-1.tif,1,300316,300316.000,38.337,255
DH_ORE_sdETX4(f)_OREw(m)_F_Rep3_24_hn_07-1.tif,1,362749,362749.000,46.307,255
DH_ORE_sdETX4(f)_vg1(m)_M_Rep3_24_hn_02-1.tif,1,702764,702764.000,89.711,255
DH_ORE_sdETX4(f)_vgf02736(m)_M_Rep1_24_hn_04-1.tif,1,409409,409409.000,52.263,255
DH_ORE_sdETX4(f)_vg2a33(m)_F_Rep1_24_hn_02-1.tif,1,314394,314394.000,40.134,255
DH_ORE_sdETX4(f)_vg1(m)_M_Rep1_24_hn_01-1.tif,1,701021,701021.000,89.489,255
DH_ORE_sdETX4(f)_vg21-3(m)_F_Rep3_24_hn_2X_01-1.tif,1,652302,652302.000,83.270,255
DH_ORE_sdETX4(f)_vg2a33(m)_F_Rep1_24_hn_03-1.tif,1,336698,336698.000,42.981,255
DH_ORE_sdETX4(f)_vgf02736(m)_M_Rep1_24_hn_05-1.tif,1,724669,724669.000,92.508,255
DH_ORE_sdETX4(f)_OREw(m)_F_Rep3_24_hn_09-1.tif,1,327827,327827.000,41.849,255
DH_ORE_sdETX4(f)_vg2a33(m)_F_Rep1_24_hn_01-1.tif,1,335499,335499.000,42.828,255
DH_ORE_sdETX4(f)_vg21-3(m)_F_Rep1_24_hn_02-1.tif,1,297404,297404.000,37.965,255
DH_ORE_sdETX4(f)_OREw(m)_F_Rep3_24_hn_08-1.tif,1,356400,356400.000,45.496,255
DH_ORE_sdETX4(f)_vgf02736(m)_M_Rep1_24_hn_02-1.tif,1,688673,688673.000,87.913,255
DH_ORE_sdETX4(f)_vg2a33(m)_F_Rep1_24_hn_04-1.tif,1,301344,301344.000,38.468,255
DH_ORE_sdETX4(f)_vg2a33(m)_F_Rep1_24_hn_05-1.tif,1,322323,322323.000,41.146,255
DH_ORE_sdETX4(f)_vgf02736(m)_M_Rep1_24_hn_03-1.tif,1,701251,701251.000,89.518,255
DH_ORE_sdETX4(f)_vgf02736(m)_M_Rep1_24_hn_01-1.tif,1,699395,699395.000,89.281,255
DH_ORE_sdETX4(f)_vg2a33(m)_F_Rep1_24_hn_07-1.tif,1,373356,373356.000,47.661,255
DH_ORE_sdETX4(f)_vg2a33(m)_F_Rep3_24_hn_08-1.tif,1,337079,337079.000,43.030,255
DH_ORE_sdETX4(f)_vg2a33(m)_F_Rep4_24_hn_08-1.tif,1,335800,335800.000,42.867,255
DH_ORE_sdETX4(f)_vg2a33(m)_F_Rep4_24_hn_09-1.tif,1,329414,329414.000,42.051,255
DH_ORE_sdETX4(f)_OREw(m)_F_Rep1_24_hn_01-1.tif,1,331937,331937.000,42.373,255
DH_ORE_sdETX4(f)_vg2a33(m)_F_Rep3_24_hn_09-1.tif,1,336370,336370.000,42.939,255
DH_ORE_sdETX4(f)_vg2a33(m)_F_Rep1_24_hn_06-1.tif,1,345455,345455.000,44.099,255
DH_ORE_sdETX4(f)_OREw(m)_M_Rep2_24_hn_01-1.tif,1,645516,645516.000,82.403,255
DH_ORE_sdETX4(f)_vg2a33(m)_M_Rep3_24_hn_01-1.tif,1,714742,714742.000,91.241,255
DH_ORE_sdETX4(f)_vg2a33(m)_M_Rep4_24_hn_01-1.tif,1,732422,732422.000,93.497,255
DH_ORE_sdETX4(f)_vg1(m)_F_Rep3_24_hn_03-1.tif,1,305963,305963.000,39.058,255
DH_ORE_sdETX4(f)_vg21-3(m)_M_Rep4_24_hn_02-1.tif,1,704415,704415.000,89.922,255
DH_ORE_sdETX4(f)_OREw(m)_M_Rep4_24_hn_06-1.tif,1,628325,628325.000,80.209,255
DH_ORE_sdETX4(f)_vg21-3(m)_M_Rep3_24_hn_02-1.tif,1,687038,687038.000,87.704,255
DH_ORE_sdETX4(f)_vgf02736(m)_F_Rep2_24_hn_01-1.tif,2,339073,169536.500,43.284,255
DH_ORE_sdETX4(f)_vg21-3(m)_M_Rep3_24_hn_03-1.tif,1,681666,681666.000,87.018,255
DH_ORE_sdETX4(f)_vg1(m)_F_Rep4_24_hn_02-1.tif,1,299029,299029.000,38.173,255
DH_ORE_sdETX4(f)_vg21-3(m)_M_Rep4_24_hn_03-1.tif,1,664823,664823.000,84.868,255
DH_ORE_sdETX4(f)_vg1(m)_F_Rep3_24_hn_02-1.tif,1,297960,297960.000,38.036,255
DH_ORE_sdETX4(f)_OREw(m)_M_Rep2_24_hn_02-1.tif,1,656233,656233.000,83.772,255
DH_ORE_sdETX4(f)_vg2a33(m)_M_Rep3_24_hn_02-1.tif,1,713938,713938.000,91.138,255
DH_ORE_sdETX4(f)_vg2a33(m)_M_Rep4_24_hn_02-1.tif,1,695959,695959.000,88.843,255
DH_ORE_sdETX4(f)_OREw(m)_M_Rep3_24_hn_05-1.tif,1,665903,665903.000,85.006,255
DH_ORE_sdETX4(f)_vg21-3(m)_M_Rep4_24_hn_01-1.tif,1,599677,599677.000,76.552,255
DH_ORE_sdETX4(f)_vg2a33(m)_M_Rep2_24_hn_05-1.tif,1,723700,723700.000,92.384,255
DH_ORE_sdETX4(f)_OREw(m)_M_Rep4_24_hn_05-1.tif,1,689911,689911.000,88.071,255
DH_ORE_sdETX4(f)_vg21-3(m)_M_Rep3_24_hn_01-1.tif,1,703337,703337.000,89.785,255
DH_ORE_sdETX4(f)_vgf02736(m)_F_Rep2_24_hn_02-1.tif,1,303792,303792.000,38.781,255
DH_ORE_sdETX4(f)_vg1(m)_F_Rep4_24_hn_01-1.tif,1,312161,312161.000,39.849,255
DH_ORE_sdETX4(f)_OREw(m)_M_Rep4_24_hn_04-1.tif,1,695771,695771.000,88.819,255
DH_ORE_sdETX4(f)_vg2a33(m)_M_Rep2_24_hn_04-1.tif,1,714420,714420.000,91.199,255
DH_ORE_sdETX4(f)_vg1(m)_F_Rep3_24_hn_01-1.tif,2,127267,63633.500,16.246,255
DH_ORE_sdETX4(f)_OREw(m)_M_Rep3_24_hn_04-1.tif,1,600088,600088.000,76.604,255
DH_ORE_sdETX4(f)_vg2a33(m)_M_Rep4_24_hn_03-1.tif,1,715554,715554.000,91.344,255
DH_ORE_sdETX4(f)_vg2a33(m)_M_Rep3_24_hn_03-1.tif,1,729266,729266.000,93.095,255
DH_ORE_sdETX4(f)_OREw(m)_M_Rep2_24_hn_03-1.tif,1,682951,682951.000,87.182,255
DH_ORE_sdETX4(f)_vg1(m)_F_Rep2_24_hn_02-1.tif,2,312556,156278.000,39.899,255
DH_ORE_sdETX4(f)_OREw(m)_M_Rep2_24_hn_07-1.tif,1,700630,700630.000,89.439,255
DH_ORE_sdETX4(f)_vgf02736(m)_F_Rep4_24_hn_01-1.tif,1,345525,345525.000,44.108,255
DH_ORE_sdETX4(f)_vgf02736(m)_F_Rep3_24_hn_01-1.tif,1,333680,333680.000,42.596,255
DH_ORE_sdETX4(f)_vg2a33(m)_M_Rep4_24_hn_07-1.tif,1,662148,662148.000,84.527,255
DH_ORE_sdETX4(f)_vg1(m)_F_Rep3_24_hn_05-1.tif,1,326368,326368.000,41.663,255
DH_ORE_sdETX4(f)_vg21-3(m)_M_Rep4_24_hn_04-1.tif,1,690708,690708.000,88.172,255
DH_ORE_sdETX4(f)_vg21-3(m)_M_Rep3_24_hn_04-1.tif,1,702803,702803.000,89.716,255
DH_ORE_sdETX4(f)_vg21-3(m)_M_Rep3_24_hn_05-1.tif,1,621160,621160.000,79.294,255
DH_ORE_sdETX4(f)_OREw(m)_M_Rep4_24_hn_01-1.tif,1,674838,674838.000,86.147,255
DH_ORE_sdETX4(f)_vg2a33(m)_M_Rep2_24_hn_01-1.tif,1,694702,694702.000,88.682,255
DH_ORE_sdETX4(f)_vg21-3(m)_M_Rep4_24_hn_05-1.tif,1,656435,656435.000,83.797,255
DH_ORE_sdETX4(f)_vg1(m)_F_Rep3_24_hn_04-1.tif,2,325358,162679.000,41.534,255
DH_ORE_sdETX4(f)_vg1(m)_F_Rep3_24_hn_10-1.tif,1,331096,331096.000,42.266,255
DH_ORE_sdETX4(f)_OREw(m)_M_Rep3_24_hn_01-1.tif,1,684853,684853.000,87.425,255
DH_ORE_sdETX4(f)_vg2a33(m)_M_Rep4_24_hn_06-1.tif,1,615111,615111.000,78.522,255
DH_ORE_sdETX4(f)_vg21-3(m)_M_Rep2_24_hn_02-1.tif,1,662289,662289.000,84.545,255
DH_ORE_sdETX4(f)_OREw(m)_M_Rep2_24_hn_06-1.tif,1,663800,663800.000,84.738,255
DH_ORE_sdETX4(f)_vg1(m)_F_Rep2_24_hn_03-1.tif,1,299620,299620.000,38.248,255
DH_ORE_sdETX4(f)_OREw(m)_M_Rep2_24_hn_04-1.tif,1,656573,656573.000,83.815,255
DH_ORE_sdETX4(f)_OREw(m)_M_Rep2_24_hn_10-1.tif,1,674522,674522.000,86.106,255
DH_ORE_sdETX4(f)_vg1(m)_F_Rep2_24_hn_01-1.tif,1,302830,302830.000,38.658,255
DH_ORE_sdETX4(f)_vg2a33(m)_M_Rep3_24_hn_04-1.tif,1,710596,710596.000,90.711,255
DH_ORE_sdETX4(f)_vgf02736(m)_F_Rep3_24_hn_02-1.tif,1,323237,323237.000,41.263,255
DH_ORE_sdETX4(f)_vg2a33(m)_M_Rep4_24_hn_04-1.tif,1,726669,726669.000,92.763,255
DH_ORE_sdETX4(f)_vg1(m)_F_Rep3_24_hn_06-1.tif,2,324178,162089.000,41.383,255
DH_ORE_sdETX4(f)_OREw(m)_M_Rep3_24_hn_03-1.tif,1,662295,662295.000,84.545,255
DH_ORE_sdETX4(f)_vg2a33(m)_M_Rep2_24_hn_03-1.tif,1,694592,694592.000,88.668,255
DH_ORE_sdETX4(f)_OREw(m)_M_Rep4_24_hn_03-1.tif,1,740286,740286.000,94.501,255
DH_ORE_sdETX4(f)_vg21-3(m)_M_Rep3_24_hn_06-1.tif,1,682162,682162.000,87.082,255
DH_ORE_sdETX4(f)_OREw(m)_M_Rep4_24_hn_02-1.tif,1,688466,688466.000,87.886,255
DH_ORE_sdETX4(f)_vg2a33(m)_M_Rep2_24_hn_02-1.tif,1,708527,708527.000,90.447,255
DH_ORE_sdETX4(f)_OREw(m)_M_Rep3_24_hn_02-1.tif,1,666492,666492.000,85.081,255
DH_ORE_sdETX4(f)_vg1(m)_F_Rep3_24_hn_07-1.tif,1,320402,320402.000,40.901,255
DH_ORE_sdETX4(f)_vg21-3(m)_M_Rep2_24_hn_01-1.tif,1,697180,697180.000,88.999,255
DH_ORE_sdETX4(f)_vg2a33(m)_M_Rep3_24_hn_05-1.tif,1,700693,700693.000,89.447,255
DH_ORE_sdETX4(f)_OREw(m)_M_Rep2_24_hn_05-1.tif,1,665822,665822.000,84.996,255
